Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B Time
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 222.75 0.10 3.50 12.00 20170923103341
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 222.75 0.10 3.50 12.00 20170923103341
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 222.75 0.10 3.50 12.00 20170923103341
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 222.75 0.10 3.50 12.00 20170923103341
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 223.00 0.10 3.50 12.00 20170923103341
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 223.00 0.10 3.50 12.00 20170923103342
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 223.00 0.10 3.50 12.00 20170923103342
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20C0 222.50 0.10 3.50 12.00 20170923103342
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83A F83E 20C0 222.75 0.10 3.50 12.00 20170923103342
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 223.00 0.10 3.50 12.00 20170923103342
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20C0 223.00 0.10 3.50 12.00 20170923103342
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 222.50 0.10 3.50 12.00 20170923103343
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20C0 223.00 0.10 3.50 12.00 20170923103343
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20C0 223.00 0.10 3.50 12.00 20170923103343
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BF 222.50 0.10 3.50 12.00 20170923103343
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20C0 222.75 0.10 3.50 12.00 20170923103343
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BF 223.00 0.10 3.50 12.00 20170923103343
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BF 223.00 0.10 3.50 12.00 20170923103344
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BF 223.00 0.10 3.50 12.00 20170923103344
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20C0 222.75 0.10 3.50 12.00 20170923103344
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BF 222.75 0.10 3.50 12.00 20170923103344
