Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.03 0.09 20170923110536
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110536
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110536
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110536
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110536
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110537
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110537
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110537
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110537
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.25 0.10 3.50 12.00 0.01 0.09 20170923110537
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.25 0.10 3.50 12.00 0.01 0.38 20170923110537
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.03 0.09 20170923110538
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110538
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110538
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110538
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110538
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110539
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110539
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.75 0.10 3.50 12.00 0.03 0.09 20170923110539
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110539
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.25 0.10 3.50 12.00 0.01 0.09 20170923110539
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.25 0.10 3.50 12.00 0.01 0.09 20170923110540
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110540
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.03 0.09 20170923110540
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110540
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.25 0.10 3.50 12.00 0.01 0.09 20170923110540
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110541
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110541
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.38 20170923110541
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110541
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.38 20170923110541
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.38 20170923110541
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110542
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.25 0.10 3.50 12.00 0.01 0.09 20170923110542
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110542
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.38 20170923110542
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110542
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110543
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.38 20170923110543
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110543
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.38 20170923110543
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.25 0.10 3.50 12.00 0.01 0.09 20170923110543
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110544
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110544
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110544
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110544
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110544
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110545
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110545
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110545
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110545
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.03 0.09 20170923110545
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110545
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.25 0.10 3.50 12.00 0.01 0.09 20170923110546
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110546
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.03 0.09 20170923110546
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110546
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110546
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.75 0.10 3.50 12.00 0.01 0.09 20170923110547
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 223.00 0.10 3.50 12.00 0.01 0.09 20170923110547
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.000000 222.50 0.10 3.50 12.00 0.01 0.38 20170923110547
