Address 79 7A 7B 7C 7D 7E 7F 80 81 82 90 8D 8E 8F Time
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112643
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112643
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112643
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112643
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112643
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112643
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112643
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112643
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112644
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112644
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112644
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112644
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112644
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112644
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112644
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134D 20170506112644
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112644
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112645
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112645
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112645
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112645
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112645
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112645
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112645
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112645
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112645
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112646
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112646
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112646
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112646
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112646
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112646
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112646
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112646
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112647
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112647
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112647
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112647
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112647
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112647
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112647
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112647
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 1348 20170506112648
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112648
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112648
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112648
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112648
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112648
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112648
D0 0002 00 00 00 00 80 FF 00 00 FF 001A 001D 0020 134F 20170506112648
