Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 228.75 0.10 3.50 12.00 0.03 0.38 20.000 20170928175708
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 228.75 0.10 3.50 12.00 0.03 0.38 10.000 20170928175711
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 229.25 0.10 3.50 12.00 0.03 0.38 12.000 20170928175713
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 229.00 0.10 3.50 12.00 0.01 0.38 7.000 20170928175715
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 229.00 0.10 3.50 12.00 0.03 0.38 5.000 20170928175717
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 229.00 0.10 3.50 12.00 0.03 0.38 4.000 20170928175719
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 229.00 0.10 3.50 12.00 0.01 0.38 36.000 20170928175723
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 228.50 0.10 3.50 12.00 0.03 0.38 28.000 20170928175727
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 229.00 0.10 3.50 12.00 0.03 0.38 6.000 20170928175729
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2864 228.75 0.10 3.50 12.00 0.03 0.09 15.000 20170928175731
