Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.75 0.10 3.50 12.00 0.01 0.38 0 20170928170700
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 225.75 0.10 3.50 12.00 0.03 0.09 0 20170928170700
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.50 0.10 3.50 12.00 0.03 0.38 0 20170928170701
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.75 0.10 3.50 12.00 0.01 0.38 4 20170928170702
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 225.50 0.10 3.50 12.00 0.03 0.09 0 20170928170703
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.25 0.10 3.50 12.00 0.01 0.09 3 20170928170703
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.50 0.10 3.50 12.00 0.03 0.09 0 20170928170704
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.75 0.10 3.50 12.00 0.01 0.09 0 20170928170705
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.75 0.10 3.50 12.00 0.01 0.38 0 20170928170706
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.25 0.10 3.50 12.00 0.03 0.09 0 20170928170706
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 225.25 0.10 3.50 12.00 0.01 0.38 0 20170928170707
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.50 0.10 3.50 12.00 0.03 0.38 0 20170928170708
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.25 0.10 3.50 12.00 0.03 0.38 0 20170928170708
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.25 0.10 3.50 12.00 0.01 0.38 0 20170928170711
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 225.00 0.10 3.50 12.00 0.01 0.09 0 20170928170712
