Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928161726
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.50 0.10 3.50 12.00 0.01 0.09 06 20170928161727
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.50 0.10 3.50 12.00 0.03 0.09 06 20170928161728
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.01 0.38 06 20170928161728
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.50 0.10 3.50 12.00 0.01 0.09 06 20170928161729
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 223.00 0.10 3.50 12.00 0.01 0.38 06 20170928161729
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.50 0.10 3.50 12.00 0.03 0.09 06 20170928161730
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928161731
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928161731
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 223.00 0.10 3.50 12.00 0.03 0.09 06 20170928161731
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 222.75 0.10 3.50 12.00 0.01 0.38 06 20170928161732
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928161732
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 222.75 0.10 3.50 12.00 0.01 0.09 06 20170928161734
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928161735
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.01 0.38 06 20170928161735
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 222.75 0.10 3.50 12.00 0.01 0.09 06 20170928161736
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.25 0.10 3.50 12.00 0.03 0.38 06 20170928161736
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 222.50 0.10 3.50 12.00 0.03 0.38 06 20170928161737
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.03 0.09 06 20170928161737
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.01 0.09 06 20170928161738
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.03 0.09 06 20170928161738
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.50 0.10 3.50 12.00 0.01 0.09 06 20170928161738
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 223.00 0.10 3.50 12.00 0.01 0.09 06 20170928161739
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 29.50 31.50 2912 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928161739
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.50 0.10 3.50 12.00 0.01 0.38 06 20170928161740
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928161740
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.50 0.10 3.50 12.00 0.03 0.09 06 20170928161741
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.25 0.10 3.50 12.00 0.03 0.38 06 20170928161741
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.01 0.38 06 20170928161744
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.03 0.38 06 20170928161745
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 222.75 0.10 3.50 12.00 0.01 0.38 06 20170928161746
