Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.01 0.38 3.000 20170929083610
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.03 0.38 3.000 20170929083611
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.00 30.50 2928 222.50 0.10 3.50 12.00 0.01 0.38 3.000 20170929083612
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.00 30.50 2928 222.50 0.10 3.50 12.00 0.01 0.38 3.000 20170929083614
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.01 0.09 3.000 20170929083615
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.03 0.38 3.000 20170929083616
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.03 0.38 3.000 20170929083617
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.01 0.38 3.000 20170929083618
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.00 30.50 2928 222.50 0.10 3.50 12.00 0.01 0.09 3.000 20170929083620
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.03 0.38 3.000 20170929083621
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 223.00 0.10 3.50 12.00 0.03 0.09 3.000 20170929083622
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.03 0.09 3.000 20170929083623
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.03 0.09 3.000 20170929083625
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.03 0.38 3.000 20170929083626
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.00 30.50 2928 223.00 0.10 3.50 12.00 0.01 0.38 3.000 20170929083627
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.75 0.10 3.50 12.00 0.01 0.38 3.000 20170929083628
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2912 222.25 0.10 3.50 12.00 0.03 0.38 3.000 20170929083629
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.00 30.50 2928 222.00 0.10 3.50 12.00 0.01 0.09 3.000 20170929083631
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.00 30.50 2928 222.50 0.10 3.50 12.00 0.03 0.38 3.000 20170929083632
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.50 0.10 3.50 12.00 0.03 0.38 3.000 20170929083633
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.25 0.10 3.50 12.00 0.03 0.38 3.000 20170929083634
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 30.50 2928 222.25 0.10 3.50 12.00 0.03 0.38 3.000 20170929083635
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.25 0.10 3.50 12.00 0.03 0.38 3.000 20170929083637
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.00 0.10 3.50 12.00 0.03 0.09 3.000 20170929083638
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.00 0.10 3.50 12.00 0.03 0.38 3.000 20170929083639
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 2928 222.25 0.10 3.50 12.00 0.03 0.38 3.000 20170929083640
