Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 Time
B0 0841 00 00 00 00 00 FF FF 00 FF F835 F839 F83B 20FA 20170914153629
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153630
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F839 F83B 20FA 20170914153630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153631
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153631
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153631
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153631
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153631
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153631
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153631
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153631
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153632
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153632
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153632
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153632
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153632
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153632
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FB 20170914153632
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153632
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153633
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153633
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153633
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153633
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153633
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153633
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153633
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153633
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153634
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153634
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153634
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153634
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153634
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153634
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F838 F83B 20FA 20170914153634
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153634
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153635
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153635
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153635
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153635
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153635
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153635
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F839 F83B 20FA 20170914153635
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153635
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153636
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153636
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153636
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153636
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153636
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F838 F83B 20FA 20170914153636
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153636
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153636
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F838 F83B 20FA 20170914153637
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153637
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153637
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153637
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F838 F83B 20FA 20170914153637
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153637
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153637
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153637
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153638
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153638
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153638
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153638
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153638
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153638
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F839 F83B 20FA 20170914153638
