Address 02 30 01 40 42 44 46 48 10 11 12 20 21 22 Time
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125201
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125202
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125202
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125202
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125202
B0 0000 0000 0306 0000 0640 0680 0680 0640 223.00 0.000 6.000 0.000 0.000 0.000 20170414125202
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125202
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125202
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125202
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125202
B0 0000 0000 0306 0000 0640 0680 0680 0640 223.00 0.000 6.000 0.000 0.000 0.000 20170414125203
B0 0000 0000 0306 0000 0640 0680 0680 0640 223.00 0.000 6.000 0.000 0.000 0.000 20170414125203
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125203
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125203
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125203
B0 0000 0000 0306 0000 0640 0680 0680 0640 222.00 0.000 6.000 0.000 0.000 0.000 20170414125203
B0 0000 0000 0306 0000 0640 0680 0680 0640 223.00 0.000 6.000 0.000 0.000 0.000 20170414125203
B0 0000 0000 0306 0000 0640 0680 0680 0640 223.00 0.000 6.000 0.000 0.000 0.000 20170414125203
