Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.50 0.10 3.50 12.00 0.03 0.09 0.000 20170928165154
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.00 0.10 3.50 12.00 0.01 0.38 0.000 20170928165154
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928165155
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 224.25 0.10 3.50 12.00 0.01 0.38 0.000 20170928165156
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.25 0.10 3.50 12.00 0.01 0.38 0.000 20170928165156
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928165157
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928165157
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 224.25 0.10 3.50 12.00 0.03 0.09 0.000 20170928165158
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 224.50 0.10 3.50 12.00 0.01 0.09 0.000 20170928165229
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2912 224.50 0.10 3.50 12.00 0.03 0.38 0.000 20170928165230
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.50 0.10 3.50 12.00 0.03 0.38 0.000 20170928165231
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.25 0.10 3.50 12.00 0.01 0.38 0.000 20170928165231
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.50 0.10 3.50 12.00 0.01 0.09 0.000 20170928165232
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.25 0.10 3.50 12.00 0.01 0.38 0.000 20170928165232
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928165259
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 224.25 0.10 3.50 12.00 0.03 0.09 0.000 20170928165301
