Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 Time
B0 0841 00 00 00 00 00 FF FF 00 FF F834 F836 F836 20FA 20170914091147
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091147
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091147
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091147
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091147
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091147
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091147
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091147
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091148
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091148
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091148
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091148
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091148
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091148
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091148
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091148
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091149
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091149
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091149
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091149
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091149
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091149
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091149
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091149
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091149
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091150
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091150
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091150
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091150
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091150
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091150
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091150
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091150
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091151
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091151
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091151
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091151
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F836 F836 20FA 20170914091151
