Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110205
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110206
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110206
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.00 0.10 3.50 12.00 0.01 0.09 20170923110206
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.03 0.09 20170923110206
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110206
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110207
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110207
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110207
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.38 20170923110207
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110207
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110208
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110208
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110208
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110208
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110208
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.38 20170923110209
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110209
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110209
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110209
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.00 0.10 3.50 12.00 0.01 0.09 20170923110209
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110209
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110210
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.00 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.38 20170923110210
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110210
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.25 0.10 3.50 12.00 0.03 0.09 20170923110210
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.00 0.10 3.50 12.00 0.03 0.09 20170923110210
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110211
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.03 0.09 20170923110211
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110211
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.00 223.25 0.10 3.50 12.00 0.01 0.09 20170923110211
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.00 223.00 0.10 3.50 12.00 0.01 0.09 20170923110211
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110212
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 30.50 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110212
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3040.00 223.50 0.10 3.50 12.00 0.01 0.09 20170923110212
