Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B Time
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20E7 223.00 0.10 5.25 0.00 20170923103233
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20EC 222.75 0.10 5.25 0.00 20170923103234
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F0 222.50 0.10 5.25 0.00 20170923103234
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F4 222.75 0.10 2.75 0.00 20170923103234
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F7 223.00 0.10 3.00 0.00 20170923103234
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FA 222.75 0.10 3.00 0.00 20170923103234
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FD 223.00 0.10 3.25 0.00 20170923103234
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20FF 223.00 0.10 3.50 0.00 20170923103235
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2101 223.00 0.10 3.50 0.00 20170923103235
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2102 222.75 0.10 3.50 0.00 20170923103235
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 222.75 0.10 3.50 0.00 20170923103235
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 223.00 0.10 3.50 0.00 20170923103235
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 223.00 0.10 3.50 0.00 20170923103235
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 223.00 0.10 3.50 0.00 20170923103236
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 2107 222.75 0.10 3.50 0.00 20170923103236
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.75 0.10 3.50 0.00 20170923103236
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2108 223.00 0.10 3.50 0.00 20170923103236
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2108 222.75 0.10 3.50 0.00 20170923103236
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2108 223.25 0.10 3.50 0.00 20170923103236
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2108 223.00 0.10 3.50 0.00 20170923103237
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2108 222.75 0.10 3.50 0.00 20170923103237
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2108 222.75 0.10 3.50 0.00 20170923103237
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2108 222.75 0.10 3.50 0.00 20170923103237
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2108 223.00 0.10 3.50 0.00 20170923103237
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 2108 223.00 0.10 3.50 0.00 20170923103237
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.75 0.10 3.25 0.00 20170923103238
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.75 0.10 3.25 0.00 20170923103238
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.75 0.10 3.25 0.00 20170923103238
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2107 222.75 0.10 3.25 0.00 20170923103238
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.75 0.10 3.25 0.00 20170923103238
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.75 0.10 3.25 0.00 20170923103238
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2106 222.50 0.10 3.25 0.00 20170923103239
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 222.50 0.10 3.25 0.00 20170923103239
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2105 222.75 0.10 3.25 0.00 20170923103239
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 223.00 0.10 3.25 0.00 20170923103239
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 222.75 0.10 3.25 11.00 20170923103239
B0 0841 00 00 00 00 00 FF FF 00 FF F838 F83A F83E 2104 223.00 0.10 3.25 12.00 20170923103239
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 222.75 0.10 3.75 12.00 20170923103240
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2104 222.75 0.10 3.50 12.00 20170923103240
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2102 222.75 0.10 3.50 12.00 20170923103240
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 2100 223.00 0.10 3.25 12.00 20170923103240
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20FD 222.75 0.10 3.00 12.00 20170923103240
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20F9 222.75 0.10 2.75 12.00 20170923103240
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20F5 222.75 0.10 2.50 12.00 20170923103241
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20F1 222.75 0.10 2.25 12.00 20170923103241
