Address 79 7A 7B 7C 7D 7E 7F 80 81 82 90 8D 8E 8F Time
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141235
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141235
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141235
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141235
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141236
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141236
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141236
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141236
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141236
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141236
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141236
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141236
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141237
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141237
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141237
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141237
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141237
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141237
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141237
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141237
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141237
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141238
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141238
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141238
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141238
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141238
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141238
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141238
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141238
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141239
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141239
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141239
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141239
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141239
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141239
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141239
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141239
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141239
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141240
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141240
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141240
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141240
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141240
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141240
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141240
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141240
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141241
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141241
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141241
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141241
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141241
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141241
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141241
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141241
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141242
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141242
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141242
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141242
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141242
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141242
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141242
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141242
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 001F 1348 20170506141242
