Address 79 7A 7B 7C 7D 7E 7F 80 81 82 90 Time
D0 0002 8200 E900 FF00 9400 C920 FFFF 6900 0200 FFFF 1348 20170505183732
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183733
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 134E 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 134F 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183734
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183735
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183735
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183735
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183735
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183735
D0 0002 8200 E900 FF00 9400 40A0 FFFF 6900 0200 FFFF 1348 20170505183735
