Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 229.75 0.10 3.50 12.00 0.03 0.38 0.000 20170928173705
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 230.00 0.10 3.50 12.00 0.03 0.09 0.000 20170928173707
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 230.00 0.10 3.50 12.00 0.01 0.38 0.000 20170928173709
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 230.00 0.10 3.50 12.00 0.03 0.38 1.000 20170928173712
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 229.75 0.10 3.50 12.00 0.01 0.38 0.000 20170928173715
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 230.00 0.10 3.50 12.00 0.03 0.09 0.000 20170928173719
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 229.75 0.10 3.50 12.00 0.01 0.38 0.000 20170928173723
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 229.75 0.10 3.50 12.00 0.01 0.38 0.000 20170928173731
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 230.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928173734
