02 30 01 40 42 44 46 48 10 11 12 20 21 22 Time
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092028
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.81 0.125 11.000 12.246 0.500 6.000 20171026092028
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092028
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092029
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092029
BE 0000 0000 030F 0C4E 0860 09E0 0C80 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092029
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092029
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092029
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092029
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092029
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092029
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092029
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092030
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092030
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.262 0.500 6.000 20171026092030
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092030
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.81 0.125 11.000 12.246 0.500 6.000 20171026092030
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092030
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092030
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092030
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092031
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092031
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 226.09 0.125 11.000 12.246 0.500 6.000 20171026092031
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092031
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092031
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092031
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.81 0.125 11.000 12.246 0.500 6.000 20171026092031
BE 0000 0000 030F 0C4E 0860 09E0 0C80 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092031
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092031
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092032
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.81 0.125 11.000 12.246 0.500 6.000 20171026092032
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.97 0.125 11.000 12.246 0.500 6.000 20171026092032
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092032
BE 0000 0000 030F 0CE4 0860 09E0 0C80 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092032
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092032
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092032
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.81 0.125 11.000 12.246 0.500 6.000 20171026092032
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.81 0.125 11.000 12.246 0.500 6.000 20171026092033
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092033
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.81 0.125 11.000 12.246 0.500 6.000 20171026092033
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092033
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092033
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092033
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092033
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092033
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092033
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092034
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092034
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092034
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092034
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092034
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092034
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092034
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092034
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092035
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092035
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092035
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092035
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092035
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092035
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092035
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092035
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092035
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092036
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092036
BE 0000 0000 030F 0CE4 0860 09E0 0C80 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092036
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092036
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092036
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092036
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092036
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092036
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.81 0.125 11.000 12.246 0.500 6.000 20171026092037
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092037
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092037
BE 0000 0000 030F 0C4E 0860 09E0 0C80 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092037
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092037
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092037
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092037
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092037
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.69 0.125 11.000 12.246 0.500 6.000 20171026092038
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092038
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.53 0.125 11.000 12.246 0.500 6.000 20171026092038
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092038
BE 0000 0000 030F 0C4E 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092038
BE 0000 0000 030F 0CE4 0860 09E0 0CA0 0C00 225.41 0.125 11.000 12.246 0.500 6.000 20171026092038
