Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 Time
B0 7B40 40 40 40 40 40 40 40 40 40 7B40 7B40 7B40 7B40 20170914151626
B0 7B40 40 40 40 40 40 40 00 00 FF F803 F807 F800 2014 20170914151627
B0 0843 00 00 00 00 80 FF FF 00 FF F807 F80D F807 2060 20170914151627
B0 0843 00 00 00 00 80 FF FF 00 FF F80D F812 F80E 207A 20170914151627
B0 0843 00 00 00 00 80 FF FF 00 FF F810 F81B F819 208A 20170914151627
B0 0843 00 00 00 00 80 FF FF 00 FF F813 F81F F81D 2099 20170914151627
B0 0843 00 00 00 00 80 FF FF 00 FF F817 F824 F821 20A6 20170914151627
B0 0843 00 00 00 00 80 FF FF 00 FF F81A F827 F827 20B5 20170914151627
B0 0843 00 00 00 00 80 FF FF 00 FF F81E F829 F82A 20C1 20170914151627
B0 0843 00 00 00 00 80 FF FF 00 FF F820 F82C F82E 20CC 20170914151628
B0 0843 00 00 00 00 80 FF FF 00 FF F821 F82E F830 20D6 20170914151628
B0 0843 00 00 00 00 80 FF FF 00 FF F824 F830 F833 20DF 20170914151628
B0 0843 00 00 00 00 80 FF FF 00 FF F826 F831 F834 20E8 20170914151628
B0 0843 00 00 00 00 80 FF FF 00 FF F828 F833 F835 20EF 20170914151628
B0 0843 00 00 00 00 80 FF FF 00 FF F82A F833 F836 20F6 20170914151628
B0 0843 00 00 00 00 80 FF FF 00 FF F82C F834 F837 20FC 20170914151628
B0 0843 00 00 00 00 80 FF FF 00 FF F82D F835 F838 2101 20170914151629
B0 0843 00 00 00 00 80 FF FF 00 FF F82D F835 F839 2106 20170914151629
B0 0843 00 00 00 00 80 FF FF 00 FF F82F F836 F83A 210A 20170914151629
B0 0843 00 00 00 00 80 FF FF 00 FF F830 F836 F83A 210D 20170914151629
B0 0843 00 00 00 00 80 FF FF 00 FF F831 F837 F83A 2110 20170914151629
B0 0843 00 00 00 00 80 FF FF 00 FF F832 F837 F83B 2112 20170914151629
B0 0843 00 00 00 00 80 FF FF 00 FF F833 F837 F83B 2114 20170914151629
B0 0843 00 00 00 00 80 FF FF 00 FF F833 F837 F83B 2116 20170914151629
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F837 F83B 2117 20170914151630
B0 0843 00 00 00 00 80 FF FF 00 FF F834 F837 F83B 2118 20170914151630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F838 F83B 2118 20170914151630
B0 0843 00 00 00 00 80 FF FF 00 FF F835 F838 F83C 2118 20170914151630
B0 0843 00 00 00 00 80 FF FF 00 FF F836 F838 F83C 2118 20170914151630
B0 0843 00 00 00 00 80 FF FF 00 FF F836 F838 F83C 2118 20170914151630
B0 0843 00 00 00 00 80 FF FF 00 FF F836 F838 F83C 2118 20170914151630
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 2117 20170914151631
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 2117 20170914151631
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 2116 20170914151631
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 2115 20170914151631
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 2114 20170914151631
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 2113 20170914151631
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 2112 20170914151631
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 2111 20170914151631
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 2110 20170914151632
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 210E 20170914151632
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F837 F83C 210D 20170914151632
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F837 F83C 210C 20170914151632
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 210A 20170914151632
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2109 20170914151632
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2108 20170914151632
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2107 20170914151632
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2106 20170914151633
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2105 20170914151633
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F837 F83C 2104 20170914151633
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2103 20170914151633
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2103 20170914151633
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2102 20170914151633
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2101 20170914151633
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2101 20170914151634
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 2100 20170914151634
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FF 20170914151634
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FF 20170914151634
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FF 20170914151634
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FE 20170914151634
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FE 20170914151634
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FD 20170914151634
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FD 20170914151635
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FD 20170914151635
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FC 20170914151635
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FC 20170914151635
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FB 20170914151635
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FB 20170914151635
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F837 F83C 20FB 20170914151635
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FA 20170914151635
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FA 20170914151636
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20FA 20170914151636
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F9 20170914151636
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F9 20170914151636
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F837 F83C 20F9 20170914151636
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F9 20170914151636
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F9 20170914151636
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F9 20170914151637
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151637
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151637
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151637
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151637
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151637
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151637
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151637
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151638
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151638
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151638
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151638
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151638
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151638
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151638
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151638
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151639
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F8 20170914151639
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F9 20170914151639
B0 0843 00 00 00 00 80 FF FF 00 FF F839 F838 F83C 20F9 20170914151639
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151639
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151639
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151639
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151640
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151640
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151640
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151640
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151640
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151640
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151640
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151640
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151641
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151641
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151641
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151641
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151641
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151641
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151641
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151641
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151642
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151642
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151642
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151642
B0 0843 00 00 00 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151642
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F837 F83C 20F9 20170914151642
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151642
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151643
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151643
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151643
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F837 F83C 20F9 20170914151643
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83C 20F9 20170914151643
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83B 20F8 20170914151643
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83B 20F8 20170914151643
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83B 20F8 20170914151643
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83B 20F8 20170914151644
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83B 20F8 20170914151644
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83B 20F8 20170914151644
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83B 20F8 20170914151644
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83B 20F8 20170914151644
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83A 20F7 20170914151644
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83A 20F7 20170914151644
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83A 20F7 20170914151644
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83A 20F7 20170914151645
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83A 20F7 20170914151645
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83A 20F7 20170914151645
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83A 20F7 20170914151645
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F83A 20F7 20170914151645
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F839 20F8 20170914151645
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F839 20F8 20170914151645
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F839 20F8 20170914151645
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F839 20F8 20170914151646
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F839 20F8 20170914151646
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F839 20F9 20170914151646
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F839 20F9 20170914151646
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F839 20F9 20170914151646
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151646
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151646
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151646
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151647
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151647
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151647
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151647
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151647
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151647
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151647
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20FA 20170914151647
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151648
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20FA 20170914151648
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151648
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151648
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151648
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151648
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151648
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151648
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151649
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151649
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F837 F838 20FA 20170914151649
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20FA 20170914151649
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20FA 20170914151649
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151649
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151649
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151650
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151650
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151650
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151650
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151650
B0 284B 00 00 38 00 80 FF FF 00 FF F838 F838 F838 20F9 20170914151650
B0 284B 00 00 38 00 80 FF FF 00 FF F837 F838 F838 20F9 20170914151650
B0 284B 00 00 38 00 80 FF FF 00 FF F837 F838 F83C 20F9 20170914151650
B0 2843 00 00 28 00 80 FF FF 00 FF F837 F838 F83C 20F9 20170914151651
B0 2843 00 00 08 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151651
B0 2843 00 00 08 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151651
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151651
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151651
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151651
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151651
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151651
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151652
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151652
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151652
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151652
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151652
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151652
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151652
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151652
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151653
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151653
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151653
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151653
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151653
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151653
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151653
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151654
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151654
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151654
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151654
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151654
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151654
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151654
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151654
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151655
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151655
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151655
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151655
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151655
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151655
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151655
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151655
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151656
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151656
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151656
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151656
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151656
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151656
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151656
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151657
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151657
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151657
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151657
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151657
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F837 F83C 20FA 20170914151657
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151657
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151657
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151658
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151658
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151658
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151658
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151658
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151658
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151658
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151659
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151659
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151659
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151659
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151659
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151659
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151659
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151659
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151700
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151700
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151700
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151700
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151700
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151700
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151700
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151700
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151701
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151701
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151701
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151701
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151701
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151701
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151701
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151702
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151702
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151702
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151702
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151702
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151702
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151702
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151702
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151703
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151703
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151703
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151703
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151703
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151703
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151703
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151703
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151704
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151704
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151704
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151704
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151704
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151704
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151704
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FB 20170914151705
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151705
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151705
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151705
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151705
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151705
B0 0843 00 00 00 00 80 FF FF 00 FF F837 F838 F83C 20FA 20170914151705
