Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 228.00 0.10 3.50 12.00 0.01 0.09 0.000 20170928171627
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 228.25 0.10 3.50 12.00 0.01 0.09 0.000 20170928171628
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 228.25 0.10 3.50 12.00 0.03 0.09 0.000 20170928171629
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 228.25 0.10 3.50 12.00 0.01 0.09 0.000 20170928171630
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2912 228.50 0.10 3.50 12.00 0.03 0.38 3.000 20170928171631
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 228.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928171631
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 228.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928171632
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 228.25 0.10 3.50 12.00 0.01 0.09 0.000 20170928171638
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 31.50 2896 228.00 0.10 3.50 12.00 0.01 0.09 0.000 20170928171639
