Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.00 0.10 3.50 12.00 0.01 0.38 20170923110845
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.00 0.10 3.50 12.00 0.01 0.09 20170923110845
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3008 223.50 0.10 3.50 12.00 0.01 0.09 20170923110845
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.50 0.10 3.50 12.00 0.01 0.09 20170923110845
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.25 0.10 3.50 12.00 0.01 0.09 20170923110846
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3008 223.25 0.10 3.50 12.00 0.03 0.09 20170923110846
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.00 0.10 3.50 12.00 0.03 0.09 20170923110846
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.25 0.10 3.50 12.00 0.01 0.09 20170923110846
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.25 0.10 3.50 12.00 0.01 0.09 20170923110846
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 3008 223.00 0.10 3.50 12.00 0.01 0.38 20170923110847
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.00 0.10 3.50 12.00 0.01 0.09 20170923110847
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.00 0.10 3.50 12.00 0.01 0.09 20170923110847
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.25 0.10 3.50 12.00 0.03 0.09 20170923110847
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 3008 223.25 0.10 3.50 12.00 0.01 0.09 20170923110847
