Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 Time
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171003
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171004
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171004
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171004
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171004
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171004
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171004
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171004
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171004
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171005
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171005
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171005
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171005
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171005
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171005
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171005
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171006
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171006
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171006
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171006
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171006
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171006
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171006
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171006
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171007
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171007
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171007
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171007
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171007
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171007
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171007
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171007
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171008
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171008
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171008
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171008
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171008
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171008
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171008
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171008
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171009
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171009
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171009
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171009
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171009
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171009
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171009
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171009
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171010
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171010
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171010
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171010
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171010
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171010
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171010
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171010
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171011
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171011
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171011
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171011
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171011
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171011
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171011
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171011
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171012
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171012
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171012
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171012
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171012
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171012
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171012
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171012
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171013
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171013
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171013
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171013
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171013
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171013
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171013
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171013
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171014
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F8 20170913171014
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171014
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F8 20170913171014
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171014
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171014
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171014
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171014
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171015
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171015
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20F9 20170913171015
B0 0843 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20F9 20170913171015
