Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 Time
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37B 20170922134056
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83D 20BD F37A 20170922134056
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83D 20BD F37A 20170922134056
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83D 20BD F37B 20170922134057
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37A 20170922134057
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37B 20170922134057
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37A 20170922134057
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83D 20BD F37B 20170922134057
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37A 20170922134057
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37B 20170922134057
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37C 20170922134058
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37A 20170922134058
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37B 20170922134058
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83D 20BD F37A 20170922134058
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37B 20170922134058
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F379 20170922134058
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83D 20BD F37A 20170922134058
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37B 20170922134059
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37C 20170922134059
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37A 20170922134059
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37B 20170922134059
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37A 20170922134059
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37A 20170922134059
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37B 20170922134059
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37C 20170922134100
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37C 20170922134100
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37B 20170922134100
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83D 20BD F37C 20170922134100
