Address 79 7A 7B 7C 7D 7E 7F 80 81 82 90 8D 8E 8F Time
D0 0000 8200 E900 FF00 9400 2900 FFFF 6900 0200 FFFF 0014 0015 002D 1BAB 20170505190416
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0014 0015 002C 1BA6 20170505190416
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0014 0016 002B 1BA9 20170505190416
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0014 0016 002B 1BAA 20170505190416
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0015 0016 002A 1BAD 20170505190416
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0015 0016 002A 1BAB 20170505190416
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0015 0016 0029 1BAB 20170505190416
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0016 0016 0029 1BAE 20170505190417
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0016 0016 0029 1BAB 20170505190417
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0016 0017 0028 1BAE 20170505190417
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0016 0017 0028 1BAA 20170505190417
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0016 0017 0028 1BB4 20170505190417
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0016 0017 0028 1BA8 20170505190417
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0017 0017 0027 1BB1 20170505190417
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0017 0018 0026 1BAA 20170505190417
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0017 0018 0026 1BA9 20170505190417
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0017 0018 0026 1BA9 20170505190418
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0017 0018 0026 1BA9 20170505190418
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0017 0018 0025 1BA6 20170505190418
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0018 0019 0025 1BA7 20170505190418
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0018 0019 0025 1BA5 20170505190418
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0018 0019 0025 1BA5 20170505190418
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0018 0019 0025 1BA5 20170505190418
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0018 0019 0024 1BA5 20170505190418
D0 0002 8200 E900 FF00 9400 A080 FFFF 6900 0200 FFFF 0018 0019 0024 1BA5 20170505190419
