Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 87 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 220.50 0.10 3.50 12.00 0.03 0.38 3.600 0.100 20170929090555
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 220.75 0.10 3.50 12.00 0.01 0.09 3.700 0.200 20170929090556
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 220.50 0.10 3.50 12.00 0.03 0.38 3.700 0.200 20170929090557
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 220.25 0.10 3.50 12.00 0.03 0.38 3.700 0.100 20170929090558
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 220.50 0.10 3.50 12.00 0.01 0.09 3.600 0.200 20170929090600
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 220.50 0.10 3.50 12.00 0.03 0.38 3.600 0.100 20170929090601
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 220.25 0.10 3.50 12.00 0.03 0.38 3.700 0.300 20170929090602
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 220.25 0.10 3.50 12.00 0.03 0.38 3.600 0.200 20170929090603
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 220.50 0.10 3.50 12.00 0.01 0.38 3.600 0.200 20170929090604
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 220.75 0.10 3.50 12.00 0.03 0.38 3.600 0.200 20170929090605
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 220.75 0.10 3.50 12.00 0.03 0.09 3.600 0.100 20170929090607
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 220.50 0.10 3.50 12.00 0.03 0.09 3.600 0.400 20170929090608
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 220.75 0.10 3.50 12.00 0.03 0.38 3.600 0.200 20170929090609
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 220.50 0.10 3.50 12.00 0.03 0.09 3.600 0.300 20170929090610
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 221.00 0.10 3.50 12.00 0.03 0.38 3.700 0.100 20170929090611
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 220.75 0.10 3.50 12.00 0.03 0.38 3.600 0.300 20170929090612
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 220.75 0.10 3.50 12.00 0.03 0.38 3.700 0.200 20170929090613
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 221.00 0.10 3.50 12.00 0.03 0.09 3.700 0.200 20170929090614
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 220.75 0.10 3.50 12.00 0.03 0.38 3.700 0.200 20170929090616
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 220.25 0.10 3.50 12.00 0.03 0.38 3.600 0.200 20170929090617
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 221.00 0.10 3.50 12.00 0.01 0.38 3.600 0.100 20170929090618
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 221.75 0.10 3.50 12.00 0.03 0.38 3.700 0.100 20170929090619
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 221.00 0.10 3.50 12.00 0.03 0.38 3.700 0.100 20170929090620
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 221.25 0.10 3.50 12.00 0.03 0.38 3.600 0.300 20170929090621
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 221.00 0.10 3.50 12.00 0.01 0.38 3.600 0.100 20170929090623
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 221.00 0.10 3.50 12.00 0.03 0.38 3.700 0.100 20170929090624
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 220.75 0.10 3.50 12.00 0.03 0.38 3.600 0.100 20170929090625
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 221.00 0.10 3.50 12.00 0.03 0.38 3.600 0.300 20170929090626
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 221.00 0.10 3.50 12.00 0.01 0.38 3.700 0.100 20170929090627
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2896 220.75 0.10 3.50 12.00 0.01 0.38 3.600 0.100 20170929090628
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.00 2912 220.75 0.10 3.50 12.00 0.03 0.09 3.500 0.200 20170929090637
