Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 87 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.01 0.09 4.000 06 20170929084710
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.38 3.000 06 20170929084710
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.38 3.000 06 20170929084710
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.38 3.000 06 20170929084711
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 222.25 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084711
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 222.00 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084711
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 222.25 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084711
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 222.25 0.10 3.50 12.00 0.03 0.09 4.000 06 20170929084712
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 222.00 0.10 3.50 12.00 0.01 0.09 3.000 06 20170929084712
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2896 222.25 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084712
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.38 3.000 06 20170929084712
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.01 0.09 4.000 06 20170929084713
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084713
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.09 4.000 06 20170929084713
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.01 0.38 4.000 06 20170929084713
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084714
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084714
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084714
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.09 4.000 06 20170929084714
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.01 0.38 3.000 06 20170929084715
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.09 3.000 06 20170929084715
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.01 0.38 4.000 06 20170929084715
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 221.75 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084715
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.01 0.38 3.000 06 20170929084715
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.09 3.000 06 20170929084716
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.09 3.000 06 20170929084716
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.38 3.000 06 20170929084716
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084716
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084717
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.09 4.000 06 20170929084717
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084717
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.09 4.000 06 20170929084717
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.38 4.000 06 20170929084718
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.03 0.09 4.000 06 20170929084718
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 221.75 0.10 3.50 12.00 0.03 0.09 4.000 06 20170929084718
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.09 4.000 06 20170929084718
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.01 0.38 4.000 06 20170929084719
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.01 0.38 3.000 06 20170929084719
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.09 3.000 06 20170929084719
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 221.75 0.10 3.50 12.00 0.01 0.38 3.000 06 20170929084719
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.25 0.10 3.50 12.00 0.01 0.09 3.000 06 20170929084720
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.01 0.38 3.000 06 20170929084720
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.01 0.38 3.000 06 20170929084720
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.00 2912 222.00 0.10 3.50 12.00 0.03 0.09 3.000 06 20170929084720
