Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 Time
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102317
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102317
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.75 0.10 3.50 20170923102317
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.50 0.10 3.50 20170923102317
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BA 222.75 0.10 3.50 20170923102318
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BB 222.50 0.10 3.50 20170923102318
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BB 222.75 0.10 3.50 20170923102318
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.75 0.10 3.50 20170923102318
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102318
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.75 0.10 3.50 20170923102318
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.75 0.10 3.50 20170923102319
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.75 0.10 3.50 20170923102319
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102319
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.25 0.10 3.50 20170923102319
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.25 0.10 3.50 20170923102319
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.00 0.10 3.50 20170923102319
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.25 0.10 3.50 20170923102319
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102320
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83B F83E 20BB 222.75 0.10 3.50 20170923102320
B0 0002 00 00 00 00 80 FF FF 00 FF F838 F83A F83E 20BB 222.50 0.10 3.50 20170923102320
