Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.03 0.09 0.000 20170928180003
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928180003
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.03 0.09 1.000 20170928180004
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.01 0.09 1.000 20170928180005
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928180005
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.03 0.38 1.000 20170928180006
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 1.000 20170928180007
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928180007
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.50 0.10 3.50 12.00 0.01 0.09 1.000 20170928180008
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.09 0.000 20170928180009
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928180009
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 228.75 0.10 3.50 12.00 0.03 0.09 0.000 20170928180010
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928180010
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.01 0.09 1.000 20170928180011
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928180011
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.03 0.38 0.000 20170928180012
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.01 0.09 0.000 20170928180012
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.03 0.09 0.000 20170928180013
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.09 0.000 20170928180014
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.01 0.38 0.000 20170928180019
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.50 0.10 3.50 12.00 0.01 0.38 0.000 20170928180020
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928180021
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928180022
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928180023
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.50 0.10 3.50 12.00 0.03 0.38 0.000 20170928180023
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928180024
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928180025
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928180025
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.00 0.10 3.50 12.00 0.03 0.38 0.000 20170928180027
B0 0002 00 00 00 00 80 FF FF 00 FF 29.50 30.00 32.00 2864 229.25 0.10 3.50 12.00 0.01 0.38 0.000 20170928180028
